symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2017-07-27 00:00:00+00:00,150.56,153.99,147.3,153.75,32175875,35.7236760463,36.5375190912,34.9501692456,36.4805738052,128703500,0.0,1.0
AAPL,2017-07-28 00:00:00+00:00,149.5,150.23,149.19,149.89,16832947,35.4721677,35.6453762781,35.3986133724,35.5647037897,67331788,0.0,1.0
AAPL,2017-07-31 00:00:00+00:00,148.73,150.33,148.13,149.9,19422655,35.289468241,35.6691034806,35.1471050261,35.5670765099,77690620,0.0,1.0
AAPL,2017-08-01 00:00:00+00:00,150.05,150.22,148.41,149.1,24725526,35.6026673136,35.6430035578,35.2135411931,35.3772588901,98902104,0.0,1.0
AAPL,2017-08-02 00:00:00+00:00,157.14,159.75,156.16,159.28,69222793,37.2849259691,37.9042059537,37.0523993849,37.7926881021,276891172,0.0,1.0
AAPL,2017-08-03 00:00:00+00:00,155.57,157.21,155.02,157.05,26000738,36.9124088903,37.3015350108,36.7819092766,37.2635714869,104002952,0.0,1.0
AAPL,2017-08-04 00:00:00+00:00,156.39,157.4,155.69,156.07,20349532,37.1069719506,37.3466166955,36.9408815332,37.0310449026,81398128,0.0,1.0
AAPL,2017-08-07 00:00:00+00:00,158.81,158.92,156.6701,157.06,21870321,37.6811702504,37.7072701732,37.1734318447,37.2659442071,87481284,0.0,1.0
AAPL,2017-08-08 00:00:00+00:00,160.08,161.83,158.27,158.6,35775675,37.9825057219,38.3977317652,37.5530433571,37.6313431252,143102700,0.0,1.0
AAPL,2017-08-09 00:00:00+00:00,161.059998,161.27,159.11,159.26,25640394,38.2150318316,38.2648594313,37.7523518579,37.7879426616,102561576,0.0,1.0
AAPL,2017-08-10 00:00:00+00:00,155.32,160.0,154.63,159.9,39081017,37.0025722597,38.1175094099,36.8381905003,38.0936859665,156324068,0.63,1.0
AAPL,2017-08-11 00:00:00+00:00,157.48,158.5728,156.07,156.6,25943187,37.5171586367,37.777501226,37.181248085,37.3075123349,103772748,0.0,1.0
AAPL,2017-08-14 00:00:00+00:00,159.85,160.21,158.75,159.32,21754810,38.0817742448,38.167538641,37.8197163676,37.9555099949,87019240,0.0,1.0
AAPL,2017-08-15 00:00:00+00:00,161.6,162.195,160.14,160.66,27936774,38.498684504,38.6404339921,38.1508622306,38.2747441362,111747096,0.0,1.0
AAPL,2017-08-16 00:00:00+00:00,160.95,162.51,160.15,161.94,27321761,38.343832122,38.7154778388,38.153244575,38.5796842115,109287044,0.0,1.0
AAPL,2017-08-17 00:00:00+00:00,157.86,160.71,157.84,160.52,26925694,37.6076877215,38.2866558579,37.6029230329,38.2413913155,107702776,0.0,1.0
AAPL,2017-08-18 00:00:00+00:00,157.5,159.5,156.72,157.86,27012525,37.5219233254,37.998392193,37.336100467,37.6076877215,108050100,0.0,1.0
AAPL,2017-08-21 00:00:00+00:00,157.21,157.89,155.1101,157.5,26145653,37.4528353396,37.6148347546,36.952566852,37.5219233254,104582612,0.0,1.0
AAPL,2017-08-22 00:00:00+00:00,159.78,160.0,158.02,158.23,21297812,38.0650978345,38.1175094099,37.645805231,37.6958344621,85191248,0.0,1.0
AAPL,2017-08-23 00:00:00+00:00,159.98,160.47,158.88,159.07,19198189,38.1127447212,38.2294795938,37.850686844,37.8959513865,76792756,0.0,1.0
AAPL,2017-08-24 00:00:00+00:00,159.27,160.74,158.55,160.43,19029621,37.9435982732,38.2938028909,37.7720694809,38.2199502164,76118484,0.0,1.0
AAPL,2017-08-25 00:00:00+00:00,159.86,160.56,159.27,159.65,25015218,38.0841565892,38.2509206928,37.9435982732,38.0341273581,100060872,0.0,1.0
AAPL,2017-08-28 00:00:00+00:00,161.47,162.0,159.93,160.14,25279674,38.4677140276,38.5939782775,38.1008329995,38.1508622306,101118696,0.0,1.0
AAPL,2017-08-29 00:00:00+00:00,162.91,163.12,160.0,160.1,29307862,38.8107716123,38.8608008434,38.1175094099,38.1413328533,117231448,0.0,1.0
AAPL,2017-08-30 00:00:00+00:00,163.35,163.89,162.61,163.8,26973946,38.9155947632,39.0442413574,38.7393012822,39.0228002584,107895784,0.0,1.0
AAPL,2017-08-31 00:00:00+00:00,164.0,164.52,163.48,163.64,26412439,39.0704471451,39.1943290507,38.9465652396,38.984682749,105649756,0.0,1.0
AAPL,2017-09-01 00:00:00+00:00,164.05,164.94,163.63,164.8,16508568,39.0823588668,39.2943875129,38.9823004046,39.2610346922,66034272,0.0,1.0
AAPL,2017-09-05 00:00:00+00:00,162.08,164.25,160.56,163.75,29317054,38.6130370322,39.1300057536,38.2509206928,39.0108885367,117268216,0.0,1.0
AAPL,2017-09-06 00:00:00+00:00,161.91,162.99,160.52,162.71,21179047,38.5725371785,38.829830367,38.2413913155,38.7631247255,84716188,0.0,1.0
AAPL,2017-09-07 00:00:00+00:00,161.26,162.24,160.36,162.09,21722995,38.4176847965,38.6511545416,38.2032738061,38.6154193766,86891980,0.0,1.0
AAPL,2017-09-08 00:00:00+00:00,158.63,161.15,158.53,160.86,28183159,37.7911282356,38.3914790088,37.7673047922,38.322391023,112732636,0.0,1.0
AAPL,2017-09-11 00:00:00+00:00,161.5,162.05,159.89,160.5,31028926,38.4748610606,38.6058899992,38.0913036222,38.2366266268,124115704,0.0,1.0
AAPL,2017-09-12 00:00:00+00:00,160.86,163.96,158.77,162.61,71139119,38.322391023,39.0609177678,37.8244810563,38.7393012822,284556476,0.0,1.0
AAPL,2017-09-13 00:00:00+00:00,159.65,159.96,157.91,159.87,44393752,38.0341273581,38.1079800325,37.6195994432,38.0865389335,177575008,0.0,1.0
AAPL,2017-09-14 00:00:00+00:00,158.28,159.4,158.09,158.99,23073646,37.7077461837,37.9745687496,37.6624816413,37.8768926318,92294584,0.0,1.0
AAPL,2017-09-15 00:00:00+00:00,159.88,160.97,158.0,158.47,48203642,38.0889212778,38.3485968107,37.6410405423,37.7530107262,192814568,0.0,1.0
AAPL,2017-09-18 00:00:00+00:00,158.67,160.5,157.995,160.11,27939718,37.8006576129,38.2366266268,37.6398493701,38.1437151976,111758872,0.0,1.0
AAPL,2017-09-19 00:00:00+00:00,158.73,159.77,158.44,159.51,20347352,37.814951679,38.0627154901,37.7458636932,38.0007745373,81389408,0.0,1.0
AAPL,2017-09-20 00:00:00+00:00,156.07,158.26,153.83,157.9,51693239,37.181248085,37.7029814951,36.6476029533,37.6172170989,206772956,0.0,1.0
AAPL,2017-09-21 00:00:00+00:00,153.39,155.8,152.75,155.8,36643382,36.5427798024,37.1169247879,36.3903097648,37.1169247879,146573528,0.0,1.0
AAPL,2017-09-22 00:00:00+00:00,151.89,152.27,150.56,152.02,46114424,36.1854281517,36.2759572365,35.8685763547,36.2163986281,184457696,0.0,1.0
AAPL,2017-09-25 00:00:00+00:00,150.55,151.83,149.16,149.99,43922334,35.8661940104,36.1711340857,35.5350481474,35.7327827274,175689336,0.0,1.0
AAPL,2017-09-26 00:00:00+00:00,153.14,153.92,151.69,151.78,35470985,36.483221194,36.6690440523,36.1377812649,36.159222364,141883940,0.0,1.0
AAPL,2017-09-27 00:00:00+00:00,154.23,154.7189,153.54,153.8,24959552,36.7428967268,36.8593695415,36.5785149675,36.6404559203,99838208,0.0,1.0
AAPL,2017-09-28 00:00:00+00:00,153.28,154.28,152.7,153.89,21896592,36.5165740147,36.7548084485,36.3783980431,36.6618970193,87586368,0.0,1.0
AAPL,2017-09-29 00:00:00+00:00,154.12,154.13,152.0,153.21,25856530,36.7166909391,36.7190732834,36.2116339394,36.4998976043,103426120,0.0,1.0
AAPL,2017-10-02 00:00:00+00:00,153.81,154.45,152.72,154.26,18524860,36.6428382646,36.7953083022,36.3831627318,36.7500437598,74099440,0.0,1.0
AAPL,2017-10-03 00:00:00+00:00,154.48,155.09,153.91,154.01,16146388,36.8024553353,36.9477783399,36.666661708,36.6904851514,64585552,0.0,1.0
AAPL,2017-10-04 00:00:00+00:00,153.48,153.86,152.46,153.63,19844177,36.5642209014,36.6547499863,36.321221779,36.5999560665,79376708,0.0,1.0
